Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Manchester City,H1,Shot,0,0,10,47,-,-
Manchester City,H2,Shot,0,0,7,53,-,-
Manchester City,H3,Shot,0,0,6,64,-,-
Manchester City,H4,Shot,0,0,3,66,-,-
Manchester City,H5,Shot,0,0,17,72,-,-
Manchester City,H6,Shot,0,0,20,64,-,-
Manchester City,H7,Shot,0,0,12,80,-,-
Manchester City,H8,Shot,0,0,16,31,-,-
Manchester City,H9,Shot,0,0,13,31,-,-
Manchester United,A1,Shot,0,0,12,24,-,-
Manchester United,A2,Shot,0,0,24,59,-,-
Manchester United,A3,Shot,0,0,12,72,-,-
Manchester United,A4,Shot,0,0,18,25,-,-
Manchester United,A5,Shot,0,0,8,59,-,-
Manchester United,A6,Shot,0,0,22,41,-,-
Manchester United,A7,Shot,0,0,9,31,-,-
Manchester United,A8,Shot,0,0,13,54,-,-